"","Country","Group","Preval_primary","95_CI_min_primary","95_CI_max_primary","pop_under15","pop_under65","pop_above65_rate","agr_land_perc","docs_per_1000","GDP","pop_hist","health_exp","life_exp","jan_temp","feb_temp","mar_temp","apr_temp","may_temp","jun_temp","jul_temp","aug_temp","sep_temp","oct_temp","nov_temp","dec_temp","avg_temp","CM_cal_mean","CM_fsq_mean"
"49","Myanmar","Asia",0.92,0.84,1,13119652.984375,24564736.453125,4.66030037840625,16.49,0.751,5214.3735,53387102,3.26,56.8582806451613,18.25779916,20.42032384,23.8097337066667,26.3012302133333,26.1968280533333,25.3509321733333,25.0624114133333,24.9102845066667,24.7623348533333,23.8579956,21.1614552666667,18.47728824,23.2140514188889,700711.239230769,27.0053846153846
"50","Namibia","Africa (southern, eastern, western)",0.93,0.89,0.96,595384.234375,823410.046875,3.72475063234375,0.89,0.601,10266.171,2810553,9.46818181818182,56.2603790322581,24.4061600533333,23.9076165733333,23.3879388533333,21.5405223866667,18.6298637333333,15.45225988,15.2134131,17.40332156,20.9318992666667,23.2256700133333,23.7299224266667,24.2083072533333,21.0030745916667,406265.391538462,44.7230769230769
"51","Netherlands","Europe (western, southern, northern)",0.12,0.11,0.12,3051077.140625,9888287.265625,13.3351746313281,28.94,3.836,54275.004,17730564,9.75227272727273,77.2707725806452,2.95727217586667,3.17763896546667,5.60304436266667,8.60244602133333,12.6049251466667,15.5420484733333,17.32469852,17.29575036,14.66908702,11.0180279133333,6.700538996,3.98562990889733,9.95675898863033,610636.942307692,201.49
"52","New Zealand","Oceania",0.1,0.08,0.11,874762.515625,2327580.5,11.2357569793281,1.81,3.516,44041.902,5107696,8.91863636363636,76.1366209677419,14.91269194,15.0020047666667,13.48478528,10.9706396466667,8.32779237333333,5.93228113466667,5.120140024,6.05085404133333,7.80585163733333,9.61266648,11.2646901333333,13.3454825133333,10.1524899975556,112873.537692308,15.0123076923077
"53","Niger","Africa (southern, eastern, western)",0.13,0.07,0.19,5279714.234375,5415206.703125,2.01723539309375,10.23,0.034,1214.541,24502144,5.15045454545455,46.0042129032258,17.9164679733333,20.91157316,25.5860673733333,30.1000717866667,32.6539265733333,32.9682796666667,31.60088196,30.45412228,30.52190172,28.1835849733333,22.7735454933333,18.59089056,26.85510946,164808.84,272.689230769231
"54","Nigeria","Africa (southern, eastern, western)",0.87,0.81,0.93,48421092.21875,58906005.59375,3.17014441285937,38.78,0.395,4922.6323,218529285,3.625,45.9663677419355,25.0908982,27.08373048,29.2425055333333,29.9501630133333,28.98487612,27.1785864666667,25.4655338533333,24.8201924,25.3723311466667,26.3299551066667,25.8215199466667,24.7631906266667,26.6752902411111,120652.815384615,19.7369230769231
"55","Norway","Europe (western, southern, northern)",0.12,0.08,0.16,901012.140625,2834184.390625,14.89476757625,2.32,5.168,65915.53,5408081,9.12227272727273,77.5514693548387,-9.12893410266667,-8.86132772266667,-6.29317759866667,-2.20589049333333,3.15650920952,8.01401675066667,10.6243228053333,9.67502223333333,5.68457011333333,0.472227991586667,-4.5402283704,-7.699961552,-0.0919042279966667,7335.07307692308,0.352307692307692
"56","Oman","Middle East",0.96,0.95,0.97,676741.296875,1321988.015625,2.861451536375,0.21,1.994,33098.21,4500427,2.98454545454545,64.125885483871,19.31477852,21.1309481466667,24.78276264,28.8002574266667,32.2956074,33.82102644,33.3569791333333,32.45197456,30.7754206666667,28.05628336,23.8364097466667,20.37219444,27.4162202066667,2167369.26230769,79.6076923076923
"57","Pakistan","Asia",0.58,0.56,0.61,52556169.75,71181710.109375,3.57164245825,40.56,1.084,5157.5464,239477805,2.58227272727273,59.0040806451613,8.38333512533333,11.31740346,16.5476310666667,22.0978369866667,26.6494214533333,29.1763154133333,28.60281792,27.5368338533333,25.44681184,20.8671335466667,14.5741246333333,9.86173086,20.0884496798889,11067.2715384615,20.9176923076923
"58","Papua New Guinea","Oceania",0.91,0.87,0.96,1977333.140625,2902635.5,1.842407053625,1.8,0.063,3637.9133,10012899,2.40363636363636,58.3816887096774,23.5665631866667,23.49682376,23.4272733866667,23.3541905066667,23.24091572,22.7505878,22.3453286,22.4197226533333,22.77865512,23.2107407466667,23.2208964933333,23.2690767733333,23.0900645622222,30370.3407692308,3.96384615384615
"59","Poland","Former Soviet Republics",0.43,0.39,0.47,7903551.625,24116486.875,11.3350004508906,45.51,3.714,32546.826,38040304,6.20454545454545,72.463164516129,-2.11794111445333,-1.13028295584,2.45678987316,7.92105580133333,13.1402797533333,16.6578148533333,18.3035504133333,17.8115145733333,13.5219861933333,8.637327776,3.54744903,-0.208653902746667,8.21174085784333,1998047.73923077,161.257692307692
"60","Portugal","Europe (western, southern, northern)",0.4,0.33,0.47,2026958.140625,6364339.78125,14.5216217594375,28.9,5.615,32011.324,10390956,9.51863636363636,73.9444483870968,8.62844977066667,9.55690526,11.5736486,13.2112983866667,16.07408288,19.4824546666667,22.0103022533333,22.03900028,19.9338313066667,16.20209688,11.64194912,9.20140041866667,14.9629516518889,38113.77,8.41769230769231
"61","Russia","Eastern Europe",0.61,0.59,0.64,29586683.875,95107457.640625,10.9254349821563,7.65,3.827,26586.555,145836172,5.33681818181818,68.0730870967742,-23.4659950133333,-21.2642857733333,-13.4828219066667,-4.123127688,4.63286113066667,12.4228876533333,15.74128486,13.0163828266667,6.273279816,-3.61661227653333,-14.8088566066667,-20.9595074133333,-4.13620919926667,50818.7292307692,7.32076923076923
"62","Rwanda","Africa (southern, eastern, western)",0.49,0.39,0.59,3281009.375,3898046.90625,2.72475646757812,46.69,0.116,2190.562,13355260,6.76363636363636,51.2876403225806,18.8371389466667,19.1436220533333,19.0648350666667,18.77377576,18.82943996,18.9507158133333,19.23325144,19.7250096133333,19.4201193866667,18.98679812,18.1425235333333,18.2462207866667,18.9461208733333,64964.2292307692,108.035384615385
"63","Saudi Arabia","Middle East",0.28,0.25,0.31,6159015.046875,11430676.6875,2.7222064536875,1.32,2.789,46768.434,31328374,4.58181818181818,65.9308435483871,14.3683583266667,16.7853828333333,21.0181812933333,25.6520149733333,30.2990848666667,32.8578625733333,33.9446965733333,33.9029854666667,31.30291928,26.23624808,20.03449956,15.4511477133333,25.1544484616667,174485.650769231,31.7169230769231
"64","Senegal","Africa (southern, eastern, western)",0.79,0.76,0.82,3815778.203125,4603762.609375,3.02837267846875,16.96,0.084,3384.442,17220866,4.12545454545455,53.8874016129032,24.97540068,26.98786976,29.1457331066667,30.72740564,31.4370058133333,30.3890654666667,28.49153608,27.5518564533333,27.6820070133333,28.7183524533333,27.3004818666667,24.8941127866667,28.1917355933333,173981.506153846,3.58307692307692
"65","Solomon Islands","Oceania",1,1,1,157944.359375,198581.71875,3.32316324203125,2.55,0,0,0,5.78818181818182,63.2692161290323,26.2849000533333,26.1808711333333,26.14781932,26.12024044,25.9856304133333,25.6728006133333,25.3334843066667,25.2809219866667,25.45988952,25.7258584,25.6596103466667,25.85839788,25.8092020344444,57985.6646153846,18.82
"66","Somalia","Africa (southern, eastern, western)",0.94,0.88,0.99,3816117.765625,4114857.796875,2.93149028198438,1.65,0,0,0,0,48.2702661290323,24.83425824,25.5819689466667,26.8649313466667,27.19075492,27.1290874,27.24036,26.65565552,26.77028504,27.1380549733333,25.9515369866667,24.7880535066667,24.5030843866667,26.2206692722222,105083.79,27.2907692307692
"67","South Africa","Africa (southern, eastern, western)",0.81,0.77,0.84,13435317.28125,23759293.078125,4.25184127973437,10.63,0.809,13337.79,61502601,7.61590909090909,59.1966338709677,23.0158794133333,22.4960611733333,20.936389,17.5726641866667,14.10515,11.0194134133333,10.8641371,12.9768760666667,16.4044327533333,18.8287767333333,20.34318304,21.8984309066667,17.5384494822222,167377.976153846,45.4307692307692
"68","South Korea","Asia",1,1,1,10541981.8125,28099520.125,7.11895536275,20.6,2.508,42396.76,51848401,5.91545454545455,71.3150967741935,-1.88706427918667,0.310868750533333,5.29317445466667,11.6281050933333,16.8245281733333,20.8311818533333,24.3160944,24.89667772,20.13780564,13.88890344,7.02110524266667,0.675235422166667,11.9947179925706,1477107.15769231,101.295384615385
