Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","768","Togo","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","89.5","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","768","Togo","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","46.54","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","780","Trinidad and Tobago","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","36.74","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","780","Trinidad and Tobago","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","0.02","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","780","Trinidad and Tobago","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.28","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","780","Trinidad and Tobago","5164","Tourist consumption","22290","Dairy products n.e.c.","2022","2022","t","0.42","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","780","Trinidad and Tobago","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","36.02","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","780","Trinidad and Tobago","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","18.73","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","788","Tunisia","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","1143.31","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","788","Tunisia","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","6.31","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","788","Tunisia","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","1137","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","788","Tunisia","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","591.24","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","792","Türkiye","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","757.03","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","792","Türkiye","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","311.95","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","792","Türkiye","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
