"Country","Group","Prevalance..primary.","X95..CI.min","X95..CI.max","Prevalance..primary...secondary.","X95..CI.min.1","X95..CI.max.1","SoybeanProduction2022","SoybeanProduction2021","SoybeanProduction2020","SoybeanProduction2019","SoybeanProduction2018"
"Angola","Africa (southern, eastern, western)",0.94,0.91,0.97,0.94,0.91,0.97,37374,37317,37961,37350,35266
"Botswana","Africa (southern, eastern, western)",0.88,0.78,0.98,0.85,0.7,1,0,0,0,0,0
"Cameroon","Africa (southern, eastern, western)",0.89,0.87,0.91,0.95,0.93,0.96,97703,110043,93192,65190,59681
"Democratic Republic of the Congo","Africa (southern, eastern, western)",1,1,1,0,0,0,0,0,0,0,0
"Ethiopia","Africa (southern, eastern, western)",0.77,0.75,0.79,0.81,0.79,0.83,190000,185522,208676,125623,149455
"Gabon","Africa (southern, eastern, western)",0.93,0.88,0.98,0,0,0,3932,3945,3936,3916,3981
"Ghana","Africa (southern, eastern, western)",1,1,1,0,0,0,2e+05,190000,182000,180000,176700
"Kenya","Africa (southern, eastern, western)",0.39,0.34,0.43,0.39,0.34,0.43,2000,2281,2396,2396,2398
"Malawi","Africa (southern, eastern, western)",1,1,1,0,0,0,220000,264497,210000,180000,175475
"Mozambique","Africa (southern, eastern, western)",0.95,0.93,0.98,0.97,0.94,1,50000,115000,75000,55000,55000
"Namibia","Africa (southern, eastern, western)",0.93,0.89,0.96,0.87,0.8,0.94,0,0,0,0,0
"Niger","Africa (southern, eastern, western)",0.13,0.07,0.19,0.13,0.07,0.19,0,0,0,0,0
"Nigeria","Africa (southern, eastern, western)",0.87,0.81,0.93,0,0,0,1060000,1166050,1262280,8e+05,660000
"Republic of Congo","Africa (southern, eastern, western)",0.93,0.88,0.98,0,0,0,0,0,0,0,0
"Rwanda","Africa (southern, eastern, western)",0.49,0.39,0.59,0.49,0.39,0.59,34056,26857,23755,24526,22809
"Senegal","Africa (southern, eastern, western)",0.79,0.76,0.82,0,0,0,0,0,0,0,0
"Somalia","Africa (southern, eastern, western)",0.94,0.88,0.99,0.94,0.88,0.99,0,0,0,0,0
"South Africa","Africa (southern, eastern, western)",0.81,0.77,0.84,0.77,0.72,0.81,1148300,1897000,1245500,1170345,1540000
"Sudan","Africa (southern, eastern, western)",0.55,0.53,0.57,0.53,0.5,0.55,0,0,0,0,0
"Tanzania","Africa (southern, eastern, western)",0.45,0.41,0.49,0.45,0.41,0.49,41069,75000,45000,22953,21321
"Uganda","Africa (southern, eastern, western)",0.87,0.8,0.94,0.91,0.85,0.98,140000,265870,160000,126000,107624
"Zambia","Africa (southern, eastern, western)",1,1,1,0,0,0,475353,411115,296866,281389,302720
"Austria","Europe (western, southern, northern)",0.22,0.19,0.25,0.22,0.19,0.25,248420,237830,204860,217780,186490
"Belgium","Europe (western, southern, northern)",0.15,0.13,0.17,0.15,0.13,0.17,0,0,0,0,0
"Denmark","Europe (western, southern, northern)",0.04,0,0.09,0.04,0,0.09,0,0,0,0,0
"Finland","Europe (western, southern, northern)",0.19,0.18,0.2,0.19,0.18,0.2,0,0,0,0,0
"France","Europe (western, southern, northern)",0.36,0.32,0.39,0.25,0.17,0.33,375820,439350,406810,428530,398480
"Germany","Europe (western, southern, northern)",0.16,0.15,0.18,0.16,0.15,0.18,120500,106600,90500,84100,58700
"Greece","Europe (western, southern, northern)",0.55,0.52,0.59,0.75,0.7,0.79,680,1230,1840,3720,2520
"Ireland","Europe (western, southern, northern)",0.04,-0.01,0.09,0.04,-0.01,0.09,0,0,0,0,0
"Italy","Europe (western, southern, northern)",0.72,0.71,0.74,0.72,0.7,0.74,943400,923470,1005630,1042830,1186350
"Netherlands","Europe (western, southern, northern)",0.12,0.11,0.12,0.1,0.1,0.11,0,0,0,0,0
"Norway","Europe (western, southern, northern)",0.12,0.08,0.16,0.12,0.08,0.16,0,0,0,0,0
"Portugal","Europe (western, southern, northern)",0.4,0.33,0.47,0.4,0.33,0.47,0,0,0,0,0
"Spain","Europe (western, southern, northern)",0.29,0.27,0.31,0.28,0.25,0.32,3790,4770,4620,5170,4350
"Sweden","Europe (western, southern, northern)",0.07,0.04,0.09,0.07,0.04,0.09,0,0,0,0,0
"United Kingdom","Europe (western, southern, northern)",0.08,0.07,0.09,0.08,0.08,0.09,0,0,0,0,0
